OBJECTID,ZIP_CODE,populationtotals_totpop_cy,Positive,CasesP100000,ZipInt,ActiveCases,ActiveCaseRate,SHAPE_Length,SHAPE_Area
1,78002,9061,1154,12827.9235215651,78002,15,166.74077367719,144985.64623752,1106428160.37503
2,78006,5243,333,5811.51832460733,78006,4,69.8080279232112,186978.230504854,625295909.00349
4,78015,12254,821,6389.10505836576,78015,5,38.9105058365759,95581.9499753016,266837400.084911
5,78023,29569,2188,7403.64768382229,78023,25,84.5937806652455,303706.326602784,2070591185.08041
7,78052,699,49,6980.05698005698,78052,7,997.150997150997,88234.7682143811,132945614.637831
12,78069,2290,250,10803.8029386344,78069,2,86.4304235090752,84077.4781265577,236696668.513671
13,78073,7312,1010,13473.8527214514,78073,9,120.064034151547,198568.620764441,1354584833.00982
14,78101,4485,343,7720.00900292595,78101,3,67.5219446320054,186086.800377269,752953999.927122
15,78108,880,17,1725.8883248731,78108,1,101.522842639594,102946.722267342,99156302.3721774
16,78109,50260,4561,8878.89583211665,78109,56,109.015164788102,247752.176927694,888712802.231375
17,78112,8791,1026,11635.2914493082,78112,8,90.7235200725788,187053.509381857,1323039854.61528
20,78124,614,13,2006.17283950617,78124,0,0,154218.788522876,284273164.398881
21,78148,20881,1701,8319.47569206691,78148,13,63.5821187518341,104883.183145152,169693516.906175
22,78150,294,9,3169.01408450704,78150,0,0,86348.2304502203,102810041.666555
23,78152,2234,309,12389.7353648757,78152,4,160.384923817161,167422.385616085,907912353.289303
24,78154,12029,633,5043.82470119522,78154,7,55.7768924302789,248551.236311011,498401788.003654
27,78201,45977,5417,12002.8361879861,78201,58,128.514768119474,84360.8771911793,199054797.001349
28,78202,12654,1360,10572.1393034826,78202,19,147.699004975124,41467.4134751966,68967937.0406315
29,78203,5888,761,13255.5303954015,78203,15,261.278522905417,32312.4238448288,36771190.399952
30,78204,13172,1495,10477.258392319,78204,13,91.1065947158175,53668.2583224675,77512818.1008683
31,78205,1633,178,10735.8262967431,78205,2,120.627261761158,40968.6403107478,27705139.5995393
